socialmedia,age,mobile,season,newcustomer,adcost,adrevenue,profit,profit %,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,29,mobile,summer,yes,5.43,7.66,2.23,0.4106814,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,fall,yes,0.72,1.01,0.29,0.402777778,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,summer,no,3.67,5.12,1.45,0.395095368,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,27,computer,spring,no,4.87,6.79,1.92,0.394250513,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,spring,no,2.39,3.32,0.93,0.389121339,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,22,mobile,fall,no,2.16,2.98,0.82,0.37962963,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,26,mobile,spring,no,4.74,6.51,1.77,0.373417722,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,computer,winter,yes,6.92,9.44,2.52,0.36416185,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,14,mobile,winter,no,9.67,13.19,3.52,0.36401241,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,31,computer,spring,no,10.87,14.73,3.86,0.355105796,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,fall,yes,5.47,7.29,1.82,0.332723949,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,32,mobile,spring,yes,14.6,19.32,4.72,0.323287671,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,34,computer,winter,no,11.34,15,3.66,0.322751323,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,26,mobile,spring,yes,13.12,17.24,4.12,0.31402439,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,32,computer,spring,yes,8.65,11.35,2.7,0.312138728,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,summer,yes,5.74,7.45,1.71,0.297909408,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,28,mobile,summer,no,3.32,4.29,0.97,0.292168675,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,30,computer,fall,yes,6.18,7.95,1.77,0.286407767,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,25,mobile,fall,no,3.85,4.9,1.05,0.272727273,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,22,mobile,summer,no,5.88,7.4,1.52,0.258503401,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,21,mobile,fall,no,7.98,10.01,2.03,0.254385965,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,19,mobile,summer,yes,8.76,10.96,2.2,0.251141553,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,computer,summer,yes,6.78,8.45,1.67,0.246312684,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,15,mobile,fall,no,7.81,9.73,1.92,0.245838668,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,26,mobile,spring,no,4.71,5.85,1.14,0.242038217,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,14,mobile,fall,yes,4.49,5.57,1.08,0.240534521,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,24,computer,summer,yes,5.3,6.57,1.27,0.239622642,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,29,mobile,winter,no,5.59,6.92,1.33,0.237924866,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,38,computer,fall,no,13.56,16.77,3.21,0.236725664,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,20,computer,winter,no,4.38,5.39,1.01,0.230593607,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,46,computer,spring,yes,14.65,18,3.35,0.228668942,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,fall,yes,3.81,4.68,0.87,0.228346457,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,33,mobile,spring,no,5.11,6.23,1.12,0.219178082,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,summer,no,2.93,3.52,0.59,0.201365188,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,21,mobile,spring,no,14.93,17.9,2.97,0.198928332,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,30,mobile,summer,no,5.48,6.55,1.07,0.195255474,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,22,mobile,fall,yes,2.65,3.14,0.49,0.18490566,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,27,computer,winter,yes,7.8,9.09,1.29,0.165384615,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,29,mobile,winter,yes,3.53,4.11,0.58,0.164305949,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,45,mobile,spring,no,3,3.43,0.43,0.143333333,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,31,mobile,summer,no,3.25,3.7,0.45,0.138461538,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,36,computer,spring,yes,10.14,11.53,1.39,0.137080868,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,47,computer,winter,yes,10.55,11.91,1.36,0.128909953,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,36,computer,fall,yes,5.2,5.86,0.66,0.126923077,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,26,computer,summer,no,10.56,11.87,1.31,0.12405303,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,30,computer,winter,no,5.04,5.6,0.56,0.111111111,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,27,computer,spring,yes,13.86,15.18,1.32,0.095238095,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,29,computer,winter,no,13.65,14.86,1.21,0.088644689,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,51,computer,spring,no,10.55,11.44,0.89,0.08436019,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,31,computer,spring,no,2.04,2.2,0.16,0.078431373,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,31,computer,fall,no,3.21,3.46,0.25,0.07788162,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,31,mobile,fall,no,3.17,3.39,0.22,0.069400631,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,32,computer,fall,yes,8.01,8.52,0.51,0.063670412,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,31,mobile,summer,yes,8.94,9.47,0.53,0.059284116,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,38,computer,spring,no,8.84,9.35,0.51,0.057692308,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,summer,no,1.11,1.17,0.06,0.054054054,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,28,computer,winter,no,5.28,5.54,0.26,0.049242424,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,45,computer,summer,yes,4.19,4.39,0.2,0.047732697,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,summer,no,6.46,6.7,0.24,0.037151703,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,16,computer,spring,no,7.33,7.6,0.27,0.036834925,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,23,mobile,fall,yes,5.81,6,0.19,0.032702238,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,19,mobile,spring,yes,4.43,4.51,0.08,0.018058691,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,26,mobile,fall,no,12.42,12.49,0.07,0.005636071,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,summer,yes,0.8,0.8,0,0,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,winter,yes,7.57,7.54,-0.03,-0.003963012,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,20,computer,spring,no,5.85,5.75,-0.1,-0.017094017,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,winter,yes,6.46,6.28,-0.18,-0.027863777,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,15,computer,summer,no,6.05,5.88,-0.17,-0.028099174,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,computer,winter,yes,2.66,2.57,-0.09,-0.033834586,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,26,computer,fall,no,12.51,12.08,-0.43,-0.034372502,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,30,mobile,winter,no,4.11,3.96,-0.15,-0.03649635,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,15,mobile,summer,yes,1.52,1.44,-0.08,-0.052631579,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,summer,no,1.99,1.88,-0.11,-0.055276382,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,spring,no,3.94,3.66,-0.28,-0.07106599,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,winter,no,6.68,6.2,-0.48,-0.071856287,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,28,computer,fall,no,4.8,4.43,-0.37,-0.077083333,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,31,mobile,summer,no,6.83,6.3,-0.53,-0.077598829,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,45,computer,summer,yes,5.4,4.95,-0.45,-0.083333333,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,21,mobile,winter,yes,0.9,0.82,-0.08,-0.088888889,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,30,mobile,fall,no,8.02,7.24,-0.78,-0.097256858,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,20,mobile,summer,no,5.58,5.02,-0.56,-0.100358423,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,27,mobile,summer,no,3.43,3.08,-0.35,-0.102040816,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,32,mobile,winter,no,5.04,4.47,-0.57,-0.113095238,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,summer,no,2.41,2.12,-0.29,-0.12033195,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,35,computer,fall,no,12.21,10.69,-1.52,-0.124488124,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,winter,yes,6.75,5.89,-0.86,-0.127407407,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,34,computer,spring,no,5.35,4.62,-0.73,-0.136448598,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,summer,yes,7.54,6.49,-1.05,-0.139257294,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,36,mobile,summer,yes,3.84,3.28,-0.56,-0.145833333,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,30,computer,spring,no,4.94,4.2,-0.74,-0.149797571,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,26,mobile,fall,no,1.38,1.17,-0.21,-0.152173913,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,23,mobile,spring,no,5.25,4.41,-0.84,-0.16,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,44,computer,spring,no,14.19,11.8,-2.39,-0.168428471,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,32,mobile,summer,no,4.21,3.48,-0.73,-0.173396675,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,35,mobile,summer,no,10.23,8.26,-1.97,-0.19257087,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,32,computer,summer,yes,4.9,3.93,-0.97,-0.197959184,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,38,computer,winter,yes,4.18,3.34,-0.84,-0.200956938,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,35,mobile,winter,yes,14.87,11.73,-3.14,-0.211163416,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,32,mobile,fall,no,7.09,5.58,-1.51,-0.212976023,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,24,mobile,spring,yes,6.65,5.22,-1.43,-0.215037594,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,28,computer,summer,yes,10.97,8.59,-2.38,-0.216955333,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,15,mobile,winter,yes,5.1,3.96,-1.14,-0.223529412,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,summer,yes,3.71,2.85,-0.86,-0.23180593,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,37,mobile,winter,no,5.24,4.01,-1.23,-0.234732824,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,26,computer,spring,yes,13.34,10.17,-3.17,-0.237631184,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,computer,spring,no,7.24,5.51,-1.73,-0.238950276,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,26,mobile,spring,no,13.23,9.98,-3.25,-0.245653817,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,33,mobile,summer,no,6.82,5.1,-1.72,-0.252199413,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,27,mobile,winter,yes,7.12,5.19,-1.93,-0.271067416,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,35,computer,fall,no,5.58,3.98,-1.6,-0.286738351,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,21,mobile,spring,no,7.88,5.57,-2.31,-0.293147208,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,summer,no,4.33,3.05,-1.28,-0.295612009,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,computer,fall,yes,2.73,1.92,-0.81,-0.296703297,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,36,computer,fall,no,2.77,1.92,-0.85,-0.306859206,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,14,mobile,spring,yes,3.52,2.42,-1.1,-0.3125,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,fall,no,3.37,2.29,-1.08,-0.320474777,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,22,mobile,spring,no,4.11,2.76,-1.35,-0.328467153,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,spring,yes,7.12,4.69,-2.43,-0.341292135,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,26,computer,fall,yes,10.74,7.05,-3.69,-0.343575419,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,28,computer,fall,no,7.6,4.93,-2.67,-0.351315789,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,33,mobile,summer,no,12.48,8.06,-4.42,-0.354166667,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,15,mobile,summer,no,6.89,4.26,-2.63,-0.381712627,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,44,mobile,summer,no,8.97,5.51,-3.46,-0.385730212,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,31,computer,winter,no,13.75,8.34,-5.41,-0.393454545,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,24,mobile,summer,no,6.95,4.18,-2.77,-0.398561151,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,52,computer,fall,yes,6.82,3.94,-2.88,-0.42228739,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,40,computer,winter,no,2.49,1.43,-1.06,-0.425702811,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,22,mobile,winter,yes,5.35,3.05,-2.3,-0.429906542,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,24,mobile,winter,no,5.88,3.35,-2.53,-0.430272109,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,summer,no,7.81,4.37,-3.44,-0.440460948,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,13,mobile,fall,no,5.31,2.97,-2.34,-0.440677966,,,,,,,,,,,,,,,,,,,,,,,,
Twitter,35,mobile,winter,no,2.6,1.45,-1.15,-0.442307692,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,mobile,winter,no,3.24,1.8,-1.44,-0.444444444,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,19,mobile,summer,yes,5.16,2.85,-2.31,-0.447674419,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,33,mobile,fall,no,4.75,2.61,-2.14,-0.450526316,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,29,computer,fall,no,4.83,2.61,-2.22,-0.459627329,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,26,mobile,spring,yes,5.97,3.22,-2.75,-0.460636516,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,10,mobile,fall,no,10.24,5.34,-4.9,-0.478515625,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,26,mobile,summer,no,6.12,3.12,-3,-0.490196078,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,computer,fall,no,2.72,1.38,-1.34,-0.492647059,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,summer,yes,5.76,2.9,-2.86,-0.496527778,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,41,mobile,summer,no,9.96,4.99,-4.97,-0.498995984,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,computer,winter,yes,7.92,3.89,-4.03,-0.508838384,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,16,mobile,winter,yes,2.49,1.2,-1.29,-0.518072289,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,20,mobile,summer,yes,7.64,3.64,-4,-0.523560209,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,mobile,winter,yes,7.01,3.3,-3.71,-0.529243937,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,24,mobile,fall,yes,6.62,3.05,-3.57,-0.539274924,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,33,computer,fall,no,8.69,3.92,-4.77,-0.548906789,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,30,mobile,winter,yes,6.83,3.01,-3.82,-0.559297218,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,27,computer,spring,no,6.43,2.6,-3.83,-0.595645412,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,26,mobile,fall,no,4.32,1.74,-2.58,-0.597222222,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,32,computer,summer,no,11.82,4.61,-7.21,-0.60998308,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,35,computer,winter,yes,13.51,5.26,-8.25,-0.610658771,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,34,mobile,spring,yes,7.44,2.85,-4.59,-0.616935484,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,13,computer,fall,no,9.7,3.71,-5.99,-0.617525773,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,22,mobile,summer,no,5.17,1.9,-3.27,-0.632495164,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,28,mobile,spring,no,2.84,1.01,-1.83,-0.644366197,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,computer,summer,yes,3.82,1.35,-2.47,-0.646596859,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,45,mobile,summer,yes,6.11,2.1,-4.01,-0.656301146,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,17,computer,summer,no,9.5,3.14,-6.36,-0.669473684,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,28,mobile,winter,yes,6.56,2.04,-4.52,-0.68902439,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,18,computer,summer,no,6.36,1.95,-4.41,-0.693396226,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,27,computer,winter,yes,9.56,2.93,-6.63,-0.693514644,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,23,mobile,winter,no,6.96,2.13,-4.83,-0.693965517,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,29,mobile,fall,no,2.46,0.75,-1.71,-0.695121951,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,22,mobile,summer,yes,5.19,1.55,-3.64,-0.701348748,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,17,computer,winter,no,4.58,1.28,-3.3,-0.720524017,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,21,computer,fall,yes,3.02,0.83,-2.19,-0.725165563,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,25,mobile,summer,yes,7.05,1.92,-5.13,-0.727659574,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,24,mobile,fall,no,6.57,1.54,-5.03,-0.765601218,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,15,mobile,winter,no,6.62,1.52,-5.1,-0.770392749,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,29,computer,winter,yes,10.2,2.26,-7.94,-0.778431373,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,35,mobile,fall,no,6.61,1.46,-5.15,-0.779122542,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,15,mobile,spring,yes,13.69,2.81,-10.88,-0.794740687,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,36,mobile,winter,no,4.45,0.91,-3.54,-0.795505618,,,,,,,,,,,,,,,,,,,,,,,,
TikTok,10,computer,winter,yes,3.18,0.63,-2.55,-0.801886792,,,,,,,,,,,,,,,,,,,,,,,,
Instagram,25,mobile,spring,no,3.02,0.55,-2.47,-0.817880795,,,,,,,,,,,,,,,,,,,,,,,,
Facebook,50,computer,spring,no,3.2,0.57,-2.63,-0.821875,,,,,,,,,,,,,,,,,,,,,,,,
YouTube,38,mobile,fall,yes,12.29,0.35,-11.94,-0.971521562,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2513.54,5328.35,2814.81,,,,,,,,,,,,,,,,,,,,,,,,,
